======================================================================
         RELATÓRIO DE CORREÇÃO SCHEMA.ORG (BREADCRUMBS)               
======================================================================

Total de arquivos corrigidos: 1188
Total de arquivos intactos/corretos: 350

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[CORRIGIDO] .\5-hs-da-paradacardiorespiratoria.html | Atributo 'item' injetado.
[CORRIGIDO] .\lista-de-doencas-de-notificacao-compulsoria.html | Atributo 'item' injetado.
[CORRIGIDO] .\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] .\meem.html | Atributo 'item' injetado.
[CORRIGIDO] .\meows.html | Atributo 'item' injetado.
[CORRIGIDO] .\moca.html | Atributo 'item' injetado.
[CORRIGIDO] .\news.html | Atributo 'item' injetado.
[CORRIGIDO] .\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] .\nips.html | Atributo 'item' injetado.
[CORRIGIDO] .\norton.html | Atributo 'item' injetado.
[CORRIGIDO] .\nr1.html | Atributo 'item' injetado.
[CORRIGIDO] .\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] .\painad.html | Atributo 'item' injetado.
[CORRIGIDO] .\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] .\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] .\pews.html | Atributo 'item' injetado.
[CORRIGIDO] .\prism.html | Atributo 'item' injetado.
[CORRIGIDO] .\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] .\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] .\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] .\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] .\saps.html | Atributo 'item' injetado.
[CORRIGIDO] .\simulado-de-enfermagem-doencas-de-notificacao-compulsoria.html | Atributo 'item' injetado.
[CORRIGIDO] .\simulado-de-enfermagem-nucleo-de-seguranca-do-paciente.html | Atributo 'item' injetado.
[CORRIGIDO] .\simulado-de-enfermagem.html | Atributo 'item' injetado.
[CORRIGIDO] .\simulado-de-enfermagem2.html | Atributo 'item' injetado.
[CORRIGIDO] .\simulado-de-enfermagem3.html | Atributo 'item' injetado.
[CORRIGIDO] .\simulado-de-enfermagem4.html | Atributo 'item' injetado.
[CORRIGIDO] .\sinan.html | Atributo 'item' injetado.
[CORRIGIDO] .\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] .\suporte-avancado-de-vida.html | Atributo 'item' injetado.
[CORRIGIDO] .\tabelas-vacinas-crianca.html | Atributo 'item' injetado.
[CORRIGIDO] .\time-de-resposta-rapida.html | Atributo 'item' injetado.
[CORRIGIDO] .\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] .\vagasdeemprego.html | Atributo 'item' injetado.
[CORRIGIDO] .\vigilancia.html | Atributo 'item' injetado.
[CORRIGIDO] .\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] .\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] en\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] en\apache.html | Atributo 'item' injetado.
[CORRIGIDO] en\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] en\asa.html | Atributo 'item' injetado.
[CORRIGIDO] en\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] en\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] en\berg.html | Atributo 'item' injetado.
[CORRIGIDO] en\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] en\bps.html | Atributo 'item' injetado.
[CORRIGIDO] en\braden.html | Atributo 'item' injetado.
[CORRIGIDO] en\cam.html | Atributo 'item' injetado.
[CORRIGIDO] en\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] en\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] en\cries.html | Atributo 'item' injetado.
[CORRIGIDO] en\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] en\downes.html | Atributo 'item' injetado.
[CORRIGIDO] en\downton.html | Atributo 'item' injetado.
[CORRIGIDO] en\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] en\fale.html | Atributo 'item' injetado.
[CORRIGIDO] en\fast.html | Atributo 'item' injetado.
[CORRIGIDO] en\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] en\four.html | Atributo 'item' injetado.
[CORRIGIDO] en\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] en\gds.html | Atributo 'item' injetado.
[CORRIGIDO] en\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] en\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] en\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] en\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] en\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] en\imc.html | Atributo 'item' injetado.
[CORRIGIDO] en\insulina.html | Atributo 'item' injetado.
[CORRIGIDO] en\johns.html | Atributo 'item' injetado.
[CORRIGIDO] en\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] en\katz.html | Atributo 'item' injetado.
[CORRIGIDO] en\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] en\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] en\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] en\meem.html | Atributo 'item' injetado.
[CORRIGIDO] en\missao.html | Atributo 'item' injetado.
[CORRIGIDO] en\morse.html | Atributo 'item' injetado.
[CORRIGIDO] en\news.html | Atributo 'item' injetado.
[CORRIGIDO] en\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] en\nips.html | Atributo 'item' injetado.
[CORRIGIDO] en\norton.html | Atributo 'item' injetado.
[CORRIGIDO] en\objetivo.html | Atributo 'item' injetado.
[CORRIGIDO] en\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] en\painad.html | Atributo 'item' injetado.
[CORRIGIDO] en\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] en\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] en\pews.html | Atributo 'item' injetado.
[CORRIGIDO] en\politicadeacessibilidade.html | Atributo 'item' injetado.
[CORRIGIDO] en\prism.html | Atributo 'item' injetado.
[CORRIGIDO] en\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] en\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] en\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] en\saps.html | Atributo 'item' injetado.
[CORRIGIDO] en\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] en\termos.html | Atributo 'item' injetado.
[CORRIGIDO] en\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] en\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] en\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] es\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] es\apache.html | Atributo 'item' injetado.
[CORRIGIDO] es\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] es\asa.html | Atributo 'item' injetado.
[CORRIGIDO] es\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] es\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] es\berg.html | Atributo 'item' injetado.
[CORRIGIDO] es\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] es\bps.html | Atributo 'item' injetado.
[CORRIGIDO] es\braden.html | Atributo 'item' injetado.
[CORRIGIDO] es\cam.html | Atributo 'item' injetado.
[CORRIGIDO] es\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] es\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] es\cries.html | Atributo 'item' injetado.
[CORRIGIDO] es\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] es\downes.html | Atributo 'item' injetado.
[CORRIGIDO] es\downton.html | Atributo 'item' injetado.
[CORRIGIDO] es\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] es\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] es\fast.html | Atributo 'item' injetado.
[CORRIGIDO] es\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] es\four.html | Atributo 'item' injetado.
[CORRIGIDO] es\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] es\gds.html | Atributo 'item' injetado.
[CORRIGIDO] es\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] es\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] es\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] es\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] es\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] es\imc.html | Atributo 'item' injetado.
[CORRIGIDO] es\insulina.html | Atributo 'item' injetado.
[CORRIGIDO] es\johns.html | Atributo 'item' injetado.
[CORRIGIDO] es\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] es\katz.html | Atributo 'item' injetado.
[CORRIGIDO] es\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] es\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] es\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] es\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] es\meem.html | Atributo 'item' injetado.
[CORRIGIDO] es\meows.html | Atributo 'item' injetado.
[CORRIGIDO] es\morse.html | Atributo 'item' injetado.
[CORRIGIDO] es\news.html | Atributo 'item' injetado.
[CORRIGIDO] es\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] es\nips.html | Atributo 'item' injetado.
[CORRIGIDO] es\norton.html | Atributo 'item' injetado.
[CORRIGIDO] es\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] es\painad.html | Atributo 'item' injetado.
[CORRIGIDO] es\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] es\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] es\prism.html | Atributo 'item' injetado.
[CORRIGIDO] es\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] es\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] es\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] es\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] es\saps.html | Atributo 'item' injetado.
[CORRIGIDO] es\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] es\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] es\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] es\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] de\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] de\apache.html | Atributo 'item' injetado.
[CORRIGIDO] de\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] de\asa.html | Atributo 'item' injetado.
[CORRIGIDO] de\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] de\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] de\berg.html | Atributo 'item' injetado.
[CORRIGIDO] de\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] de\bps.html | Atributo 'item' injetado.
[CORRIGIDO] de\cam.html | Atributo 'item' injetado.
[CORRIGIDO] de\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] de\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] de\cries.html | Atributo 'item' injetado.
[CORRIGIDO] de\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] de\downton.html | Atributo 'item' injetado.
[CORRIGIDO] de\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] de\fast.html | Atributo 'item' injetado.
[CORRIGIDO] de\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] de\four.html | Atributo 'item' injetado.
[CORRIGIDO] de\gds.html | Atributo 'item' injetado.
[CORRIGIDO] de\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] de\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] de\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] de\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] de\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] de\imc.html | Atributo 'item' injetado.
[CORRIGIDO] de\johns.html | Atributo 'item' injetado.
[CORRIGIDO] de\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] de\katz.html | Atributo 'item' injetado.
[CORRIGIDO] de\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] de\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] de\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] de\meem.html | Atributo 'item' injetado.
[CORRIGIDO] de\meows.html | Atributo 'item' injetado.
[CORRIGIDO] de\morse.html | Atributo 'item' injetado.
[CORRIGIDO] de\news.html | Atributo 'item' injetado.
[CORRIGIDO] de\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] de\nips.html | Atributo 'item' injetado.
[CORRIGIDO] de\norton.html | Atributo 'item' injetado.
[CORRIGIDO] de\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] de\painad.html | Atributo 'item' injetado.
[CORRIGIDO] de\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] de\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] de\pews.html | Atributo 'item' injetado.
[CORRIGIDO] de\prism.html | Atributo 'item' injetado.
[CORRIGIDO] de\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] de\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] de\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] de\saps.html | Atributo 'item' injetado.
[CORRIGIDO] de\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] de\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] de\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] it\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] it\apache.html | Atributo 'item' injetado.
[CORRIGIDO] it\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] it\asa.html | Atributo 'item' injetado.
[CORRIGIDO] it\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] it\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] it\berg.html | Atributo 'item' injetado.
[CORRIGIDO] it\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] it\bps.html | Atributo 'item' injetado.
[CORRIGIDO] it\braden.html | Atributo 'item' injetado.
[CORRIGIDO] it\cam.html | Atributo 'item' injetado.
[CORRIGIDO] it\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] it\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] it\cries.html | Atributo 'item' injetado.
[CORRIGIDO] it\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] it\downes.html | Atributo 'item' injetado.
[CORRIGIDO] it\downton.html | Atributo 'item' injetado.
[CORRIGIDO] it\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] it\fast.html | Atributo 'item' injetado.
[CORRIGIDO] it\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] it\four.html | Atributo 'item' injetado.
[CORRIGIDO] it\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] it\gds.html | Atributo 'item' injetado.
[CORRIGIDO] it\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] it\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] it\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] it\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] it\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] it\imc.html | Atributo 'item' injetado.
[CORRIGIDO] it\johns.html | Atributo 'item' injetado.
[CORRIGIDO] it\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] it\katz.html | Atributo 'item' injetado.
[CORRIGIDO] it\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] it\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] it\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] it\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] it\meem.html | Atributo 'item' injetado.
[CORRIGIDO] it\meows.html | Atributo 'item' injetado.
[CORRIGIDO] it\morse.html | Atributo 'item' injetado.
[CORRIGIDO] it\news.html | Atributo 'item' injetado.
[CORRIGIDO] it\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] it\nips.html | Atributo 'item' injetado.
[CORRIGIDO] it\norton.html | Atributo 'item' injetado.
[CORRIGIDO] it\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] it\painad.html | Atributo 'item' injetado.
[CORRIGIDO] it\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] it\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] it\pews.html | Atributo 'item' injetado.
[CORRIGIDO] it\prism.html | Atributo 'item' injetado.
[CORRIGIDO] it\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] it\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] it\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] it\saps.html | Atributo 'item' injetado.
[CORRIGIDO] it\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] it\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] it\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] it\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] fr\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] fr\apache.html | Atributo 'item' injetado.
[CORRIGIDO] fr\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] fr\asa.html | Atributo 'item' injetado.
[CORRIGIDO] fr\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] fr\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] fr\berg.html | Atributo 'item' injetado.
[CORRIGIDO] fr\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] fr\bps.html | Atributo 'item' injetado.
[CORRIGIDO] fr\braden.html | Atributo 'item' injetado.
[CORRIGIDO] fr\cam.html | Atributo 'item' injetado.
[CORRIGIDO] fr\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] fr\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] fr\cries.html | Atributo 'item' injetado.
[CORRIGIDO] fr\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] fr\downes.html | Atributo 'item' injetado.
[CORRIGIDO] fr\downton.html | Atributo 'item' injetado.
[CORRIGIDO] fr\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] fr\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] fr\fast.html | Atributo 'item' injetado.
[CORRIGIDO] fr\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] fr\four.html | Atributo 'item' injetado.
[CORRIGIDO] fr\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] fr\gds.html | Atributo 'item' injetado.
[CORRIGIDO] fr\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] fr\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] fr\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] fr\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] fr\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] fr\imc.html | Atributo 'item' injetado.
[CORRIGIDO] fr\johns.html | Atributo 'item' injetado.
[CORRIGIDO] fr\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] fr\katz.html | Atributo 'item' injetado.
[CORRIGIDO] fr\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] fr\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] fr\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] fr\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] fr\meem.html | Atributo 'item' injetado.
[CORRIGIDO] fr\meows.html | Atributo 'item' injetado.
[CORRIGIDO] fr\morse.html | Atributo 'item' injetado.
[CORRIGIDO] fr\news.html | Atributo 'item' injetado.
[CORRIGIDO] fr\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] fr\nips.html | Atributo 'item' injetado.
[CORRIGIDO] fr\norton.html | Atributo 'item' injetado.
[CORRIGIDO] fr\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] fr\painad.html | Atributo 'item' injetado.
[CORRIGIDO] fr\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] fr\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] fr\pews.html | Atributo 'item' injetado.
[CORRIGIDO] fr\prism.html | Atributo 'item' injetado.
[CORRIGIDO] fr\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] fr\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] fr\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] fr\saps.html | Atributo 'item' injetado.
[CORRIGIDO] fr\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] fr\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] fr\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] fr\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] hi\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] hi\apache.html | Atributo 'item' injetado.
[CORRIGIDO] hi\asa.html | Atributo 'item' injetado.
[CORRIGIDO] hi\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] hi\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] hi\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] hi\berg.html | Atributo 'item' injetado.
[CORRIGIDO] hi\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] hi\bps.html | Atributo 'item' injetado.
[CORRIGIDO] hi\braden.html | Atributo 'item' injetado.
[CORRIGIDO] hi\cam.html | Atributo 'item' injetado.
[CORRIGIDO] hi\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] hi\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] hi\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] hi\cries.html | Atributo 'item' injetado.
[CORRIGIDO] hi\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] hi\downes.html | Atributo 'item' injetado.
[CORRIGIDO] hi\downton.html | Atributo 'item' injetado.
[CORRIGIDO] hi\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] hi\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] hi\fast.html | Atributo 'item' injetado.
[CORRIGIDO] hi\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] hi\four.html | Atributo 'item' injetado.
[CORRIGIDO] hi\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] hi\gds.html | Atributo 'item' injetado.
[CORRIGIDO] hi\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] hi\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] hi\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] hi\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] hi\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] hi\imc.html | Atributo 'item' injetado.
[CORRIGIDO] hi\johns.html | Atributo 'item' injetado.
[CORRIGIDO] hi\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] hi\katz.html | Atributo 'item' injetado.
[CORRIGIDO] hi\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] hi\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] hi\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] hi\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] hi\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] hi\meem.html | Atributo 'item' injetado.
[CORRIGIDO] hi\meows.html | Atributo 'item' injetado.
[CORRIGIDO] hi\morse.html | Atributo 'item' injetado.
[CORRIGIDO] hi\news.html | Atributo 'item' injetado.
[CORRIGIDO] hi\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] hi\nips.html | Atributo 'item' injetado.
[CORRIGIDO] hi\norton.html | Atributo 'item' injetado.
[CORRIGIDO] hi\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] hi\painad.html | Atributo 'item' injetado.
[CORRIGIDO] hi\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] hi\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] hi\pews.html | Atributo 'item' injetado.
[CORRIGIDO] hi\prism.html | Atributo 'item' injetado.
[CORRIGIDO] hi\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] hi\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] hi\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] hi\saps.html | Atributo 'item' injetado.
[CORRIGIDO] hi\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] hi\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] hi\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] hi\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] zh\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] zh\apache.html | Atributo 'item' injetado.
[CORRIGIDO] zh\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] zh\asa.html | Atributo 'item' injetado.
[CORRIGIDO] zh\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] zh\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] zh\barthel.html | Atributo 'item' injetado.
