======================================================================
         RELATÓRIO DE REORDENAÇÃO DE HREFLANG (SEO INTERNACIONAL)     
======================================================================

Total de arquivos com ordem corrigida: 1331
Total de arquivos já corretos/intactos: 201

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[REORDENADO] .\geradordir.html | Nova ordem: pt-br, x-default
[REORDENADO] en\four.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\fugulin.html | Nova ordem: en, pt-br, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\gds.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\gestacional.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\glasgow.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\gosnell.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\hamilton.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\humpty.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\imc.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\impactodigital.html | Nova ordem: en, pt-br, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\index.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\johns.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\jouvet.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\katz.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\lachs.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\lanss.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\lawton.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\mapa-do-site.html | Nova ordem: en, pt-br, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\medicamentos.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\meem.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\meows.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\metasinternacionais.html | Nova ordem: en, pt-br, x-default
[REORDENADO] en\missao.html | Nova ordem: en, pt-br, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\morse.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\nanda.html | Nova ordem: en, pt-br, x-default
[REORDENADO] en\news.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\nihss.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\nips.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\norton.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\nossocompromisso.html | Nova ordem: en, pt-br, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\objetivo.html | Nova ordem: en, pt-br, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\ofras.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\painad.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\pelod.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\pews.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\politica.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\politicadeacessibilidade.html | Nova ordem: en, pt-br, es, fr, de, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\prism.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\qsofa.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\rancholosamigos.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\richmond.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\saps.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\silverman.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\sofa.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\tecnologiaverde.html | Nova ordem: en, pt-br, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\termos.html | Nova ordem: en, pt-br, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\tinetti.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\vigilancia.html | Nova ordem: en, pt-br, x-default
[REORDENADO] en\waterlow.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\zarit.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\aldrete.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\apache.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\apgar.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\asa.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\ballard.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\barthel.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\berg.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\bishop.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\bps.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\cam.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\cincinnati.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\cornell.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\cries.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\curb-65.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\downes.html | Nova ordem: es, pt-br, en, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\downton.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\elpo.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\escalanumerica.html | Nova ordem: es, pt-br, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\fale.html | Nova ordem: es, pt-br, en, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\fast.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\flacc.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\four.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\fugulin.html | Nova ordem: es, pt-br, en, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\gds.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\gestacional.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\gosnell.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\humpty.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\imc.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\impactodigital.html | Nova ordem: es, pt-br, en, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\index.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\johns.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\jouvet.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\katz.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\lachs.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\lanss.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\lawton.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\manchester.html | Nova ordem: es, pt-br, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\mapa-do-site.html | Nova ordem: es, pt-br, en, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\medicamentos.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\meem.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\meows.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\missao.html | Nova ordem: es, pt-br, en, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\morse.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\news.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\nihss.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\nips.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\norton.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\nossocompromisso.html | Nova ordem: es, pt-br, en, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\objetivo.html | Nova ordem: es, pt-br, en, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\ofras.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\painad.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\pelod.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\pews.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\politica.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\politicadeacessibilidade.html | Nova ordem: es, pt-br, en, fr, de, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\prism.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\qsofa.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\ramsay.html | Nova ordem: es, pt-br, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\rancholosamigos.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\richmond.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\saps.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\silverman.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\sofa.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\tecnologiaverde.html | Nova ordem: es, pt-br, en, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\termos.html | Nova ordem: es, pt-br, en, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\tinetti.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\waterlow.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] es\zarit.html | Nova ordem: es, pt-br, en, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\aldrete.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\apache.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\apgar.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\asa.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\ballard.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\barthel.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\berg.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\bishop.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\bps.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\cam.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\cincinnati.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\cornell.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\cries.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\curb-65.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\downton.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\elpo.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\fale.html | Nova ordem: de, pt-br, en, es, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\fast.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\flacc.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\four.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\gds.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\gestacional.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\glasgow.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\gosnell.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\hamilton.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\humpty.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\imc.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\impactodigital.html | Nova ordem: de, pt-br, en, es, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\johns.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\jouvet.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\katz.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\lachs.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\lanss.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\lawton.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\mapa-do-site.html | Nova ordem: de, pt-br, en, es, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\medicamentos.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
