from_ferramenta,to_biblioteca,relacao,peso
Calculo de Medicamentos,Educacao/Avaliacao,COMPLEMENTAR,2
Calculo de Medicamentos,Pediatria/Neo.,DIRETO,3
Calculo de Medicamentos,UTI/Emerg.,COMPLEMENTAR,2
Vacinas da Crianca,Medicamentos,DIRETO,3
Vacinas da Crianca,Anatomia/Fisiol.,DIRETO,3
Vacinas da Crianca,Doencas,DIRETO,3
Vacinas da Crianca,Protocolos,DIRETO,3
Vacinas da Crianca,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Vacinas da Crianca,Seguranca Paciente,COMPLEMENTAR,2
Vacinas da Crianca,Educacao/Avaliacao,COMPLEMENTAR,2
Vacinas da Crianca,Pediatria/Neo.,DIRETO,3
Vacinas da Crianca,Vacinas/Epidem.,DIRETO,3
Vacinas da Crianca,Nutricao,COMPLEMENTAR,2
Doencas de Notificacao Compulsoria,Anatomia/Fisiol.,COMPLEMENTAR,2
Doencas de Notificacao Compulsoria,Doencas,DIRETO,3
Doencas de Notificacao Compulsoria,Protocolos,DIRETO,3
Doencas de Notificacao Compulsoria,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Doencas de Notificacao Compulsoria,Seguranca Paciente,DIRETO,3
Doencas de Notificacao Compulsoria,Legislacao/CLT,DIRETO,3
Doencas de Notificacao Compulsoria,Educacao/Avaliacao,COMPLEMENTAR,2
Doencas de Notificacao Compulsoria,Pediatria/Neo.,COMPLEMENTAR,2
Doencas de Notificacao Compulsoria,UTI/Emerg.,DIRETO,3
Diagnosticos NANDA,Medicamentos,COMPLEMENTAR,2
Diagnosticos NANDA,Dispositivos,COMPLEMENTAR,2
Diagnosticos NANDA,Feridas,DIRETO,3
Diagnosticos NANDA,Curativos,COMPLEMENTAR,2
Diagnosticos NANDA,Sinais Vitais,COMPLEMENTAR,2
Diagnosticos NANDA,Exames Lab.,COMPLEMENTAR,2
Diagnosticos NANDA,Anatomia/Fisiol.,DIRETO,3
Diagnosticos NANDA,Doencas,DIRETO,3
Diagnosticos NANDA,Protocolos,DIRETO,3
Diagnosticos NANDA,SAE/NANDA/NIC/NOC,DIRETO,3
Diagnosticos NANDA,Seguranca Paciente,DIRETO,3
Diagnosticos NANDA,Educacao/Avaliacao,DIRETO,3
Diagnosticos NANDA,Geriatria,COMPLEMENTAR,2
Diagnosticos NANDA,Pediatria/Neo.,COMPLEMENTAR,2
Diagnosticos NANDA,Saude Mental,COMPLEMENTAR,2
Diagnosticos NANDA,UTI/Emerg.,COMPLEMENTAR,2
Diagnosticos NANDA,Nutricao,COMPLEMENTAR,2
Formulario SAEP,Medicamentos,DIRETO,3
Formulario SAEP,Dispositivos,DIRETO,3
Formulario SAEP,Sinais Vitais,DIRETO,3
Formulario SAEP,Anatomia/Fisiol.,DIRETO,3
Formulario SAEP,Doencas,COMPLEMENTAR,2
Formulario SAEP,Protocolos,DIRETO,3
Formulario SAEP,SAE/NANDA/NIC/NOC,DIRETO,3
Formulario SAEP,Seguranca Paciente,DIRETO,3
Formulario SAEP,Educacao/Avaliacao,COMPLEMENTAR,2
Formulario SAEP,Bloco Operat.,DIRETO,3
Formulario SAEP,UTI/Emerg.,COMPLEMENTAR,2
SBAR Passagem de Plantao,Medicamentos,COMPLEMENTAR,2
SBAR Passagem de Plantao,Dispositivos,COMPLEMENTAR,2
SBAR Passagem de Plantao,Feridas,COMPLEMENTAR,2
SBAR Passagem de Plantao,Curativos,COMPLEMENTAR,2
SBAR Passagem de Plantao,Sinais Vitais,DIRETO,3
SBAR Passagem de Plantao,Exames Lab.,COMPLEMENTAR,2
SBAR Passagem de Plantao,Anatomia/Fisiol.,DIRETO,3
SBAR Passagem de Plantao,Doencas,DIRETO,3
SBAR Passagem de Plantao,Protocolos,DIRETO,3
SBAR Passagem de Plantao,SAE/NANDA/NIC/NOC,DIRETO,3
SBAR Passagem de Plantao,Seguranca Paciente,DIRETO,3
SBAR Passagem de Plantao,Educacao/Avaliacao,DIRETO,3
SBAR Passagem de Plantao,Geriatria,COMPLEMENTAR,2
SBAR Passagem de Plantao,Pediatria/Neo.,COMPLEMENTAR,2
SBAR Passagem de Plantao,Vent. Mecanica,COMPLEMENTAR,2
SBAR Passagem de Plantao,UTI/Emerg.,COMPLEMENTAR,2
Calculadora de Ferias,Legislacao/CLT,DIRETO,3
Calculadora Adicional Noturno,Legislacao/CLT,DIRETO,3
Calculadora Horas Extras,Legislacao/CLT,DIRETO,3
Calculadora Rescisao,Legislacao/CLT,DIRETO,3
Simulado Tecnicos 1,Medicamentos,COMPLEMENTAR,2
Simulado Tecnicos 1,Dispositivos,COMPLEMENTAR,2
Simulado Tecnicos 1,Seringas,COMPLEMENTAR,2
Simulado Tecnicos 1,Feridas,COMPLEMENTAR,2
Simulado Tecnicos 1,Curativos,COMPLEMENTAR,2
Simulado Tecnicos 1,Sinais Vitais,COMPLEMENTAR,2
Simulado Tecnicos 1,Exames Lab.,COMPLEMENTAR,2
Simulado Tecnicos 1,Anatomia/Fisiol.,COMPLEMENTAR,2
Simulado Tecnicos 1,Doencas,COMPLEMENTAR,2
Simulado Tecnicos 1,Protocolos,COMPLEMENTAR,2
Simulado Tecnicos 1,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Simulado Tecnicos 1,Seguranca Paciente,COMPLEMENTAR,2
Simulado Tecnicos 1,Legislacao/CLT,COMPLEMENTAR,2
Simulado Tecnicos 1,Educacao/Avaliacao,DIRETO,3
Simulado Tecnicos 1,Bloco Operat.,COMPLEMENTAR,2
Simulado Tecnicos 1,Geriatria,COMPLEMENTAR,2
Simulado Tecnicos 1,Pediatria/Neo.,COMPLEMENTAR,2
Simulado Tecnicos 1,Saude Mental,COMPLEMENTAR,2
Simulado Tecnicos 1,Vent. Mecanica,COMPLEMENTAR,2
Simulado Tecnicos 1,UTI/Emerg.,COMPLEMENTAR,2
Simulado Tecnicos 1,Vacinas/Epidem.,COMPLEMENTAR,2
Simulado Tecnicos 1,Nutricao,COMPLEMENTAR,2
Simulado Tecnicos 2,Medicamentos,COMPLEMENTAR,2
Simulado Tecnicos 2,Dispositivos,COMPLEMENTAR,2
Simulado Tecnicos 2,Seringas,COMPLEMENTAR,2
Simulado Tecnicos 2,Feridas,COMPLEMENTAR,2
Simulado Tecnicos 2,Curativos,COMPLEMENTAR,2
Simulado Tecnicos 2,Sinais Vitais,COMPLEMENTAR,2
Simulado Tecnicos 2,Exames Lab.,COMPLEMENTAR,2
Simulado Tecnicos 2,Anatomia/Fisiol.,COMPLEMENTAR,2
Simulado Tecnicos 2,Doencas,COMPLEMENTAR,2
Simulado Tecnicos 2,Protocolos,COMPLEMENTAR,2
Simulado Tecnicos 2,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Simulado Tecnicos 2,Seguranca Paciente,COMPLEMENTAR,2
Simulado Tecnicos 2,Legislacao/CLT,COMPLEMENTAR,2
Simulado Tecnicos 2,Educacao/Avaliacao,DIRETO,3
Simulado Tecnicos 2,Bloco Operat.,COMPLEMENTAR,2
Simulado Tecnicos 2,Geriatria,COMPLEMENTAR,2
Simulado Tecnicos 2,Pediatria/Neo.,COMPLEMENTAR,2
Simulado Tecnicos 2,Saude Mental,COMPLEMENTAR,2
Simulado Tecnicos 2,Vent. Mecanica,COMPLEMENTAR,2
Simulado Tecnicos 2,UTI/Emerg.,COMPLEMENTAR,2
Simulado Tecnicos 2,Vacinas/Epidem.,COMPLEMENTAR,2
Simulado Tecnicos 2,Nutricao,COMPLEMENTAR,2
Simulado Enfermeiros 1,Medicamentos,COMPLEMENTAR,2
Simulado Enfermeiros 1,Dispositivos,COMPLEMENTAR,2
Simulado Enfermeiros 1,Seringas,COMPLEMENTAR,2
Simulado Enfermeiros 1,Feridas,COMPLEMENTAR,2
Simulado Enfermeiros 1,Curativos,COMPLEMENTAR,2
Simulado Enfermeiros 1,Sinais Vitais,COMPLEMENTAR,2
Simulado Enfermeiros 1,Exames Lab.,COMPLEMENTAR,2
Simulado Enfermeiros 1,Anatomia/Fisiol.,COMPLEMENTAR,2
Simulado Enfermeiros 1,Doencas,COMPLEMENTAR,2
Simulado Enfermeiros 1,Protocolos,COMPLEMENTAR,2
Simulado Enfermeiros 1,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Simulado Enfermeiros 1,Seguranca Paciente,COMPLEMENTAR,2
Simulado Enfermeiros 1,Legislacao/CLT,COMPLEMENTAR,2
Simulado Enfermeiros 1,Educacao/Avaliacao,DIRETO,3
Simulado Enfermeiros 1,Bloco Operat.,COMPLEMENTAR,2
Simulado Enfermeiros 1,Geriatria,COMPLEMENTAR,2
Simulado Enfermeiros 1,Pediatria/Neo.,COMPLEMENTAR,2
Simulado Enfermeiros 1,Saude Mental,COMPLEMENTAR,2
Simulado Enfermeiros 1,Vent. Mecanica,COMPLEMENTAR,2
Simulado Enfermeiros 1,UTI/Emerg.,COMPLEMENTAR,2
Simulado Enfermeiros 1,Vacinas/Epidem.,COMPLEMENTAR,2
Simulado Enfermeiros 1,Nutricao,COMPLEMENTAR,2
Simulado Enfermeiros 2,Medicamentos,COMPLEMENTAR,2
Simulado Enfermeiros 2,Dispositivos,COMPLEMENTAR,2
Simulado Enfermeiros 2,Seringas,COMPLEMENTAR,2
Simulado Enfermeiros 2,Feridas,COMPLEMENTAR,2
Simulado Enfermeiros 2,Curativos,COMPLEMENTAR,2
Simulado Enfermeiros 2,Sinais Vitais,COMPLEMENTAR,2
Simulado Enfermeiros 2,Exames Lab.,COMPLEMENTAR,2
Simulado Enfermeiros 2,Anatomia/Fisiol.,COMPLEMENTAR,2
Simulado Enfermeiros 2,Doencas,COMPLEMENTAR,2
Simulado Enfermeiros 2,Protocolos,COMPLEMENTAR,2
Simulado Enfermeiros 2,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Simulado Enfermeiros 2,Seguranca Paciente,COMPLEMENTAR,2
Simulado Enfermeiros 2,Legislacao/CLT,COMPLEMENTAR,2
Simulado Enfermeiros 2,Educacao/Avaliacao,DIRETO,3
Simulado Enfermeiros 2,Bloco Operat.,COMPLEMENTAR,2
Simulado Enfermeiros 2,Geriatria,COMPLEMENTAR,2
Simulado Enfermeiros 2,Pediatria/Neo.,COMPLEMENTAR,2
Simulado Enfermeiros 2,Saude Mental,COMPLEMENTAR,2
Simulado Enfermeiros 2,Vent. Mecanica,COMPLEMENTAR,2
Simulado Enfermeiros 2,UTI/Emerg.,COMPLEMENTAR,2
Simulado Enfermeiros 2,Vacinas/Epidem.,COMPLEMENTAR,2
Simulado Enfermeiros 2,Nutricao,COMPLEMENTAR,2
Simulado Seguranca Paciente,Sinais Vitais,COMPLEMENTAR,2
Simulado Seguranca Paciente,Doencas,COMPLEMENTAR,2
Simulado Seguranca Paciente,Protocolos,DIRETO,3
Simulado Seguranca Paciente,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Simulado Seguranca Paciente,Seguranca Paciente,DIRETO,3
Simulado Seguranca Paciente,Educacao/Avaliacao,DIRETO,3
Simulado DNC,Doencas,DIRETO,3
Simulado DNC,Protocolos,DIRETO,3
Simulado DNC,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Simulado DNC,Seguranca Paciente,COMPLEMENTAR,2
Simulado DNC,Legislacao/CLT,DIRETO,3
Simulado DNC,Educacao/Avaliacao,DIRETO,3
Simulado DNC,Pediatria/Neo.,COMPLEMENTAR,2
Simulado DNC,UTI/Emerg.,DIRETO,3
Simulado Vacinas,Medicamentos,DIRETO,3
Simulado Vacinas,Anatomia/Fisiol.,COMPLEMENTAR,2
Simulado Vacinas,Doencas,DIRETO,3
Simulado Vacinas,Protocolos,DIRETO,3
Simulado Vacinas,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Simulado Vacinas,Seguranca Paciente,COMPLEMENTAR,2
Simulado Vacinas,Educacao/Avaliacao,DIRETO,3
Simulado Vacinas,Pediatria/Neo.,DIRETO,3
Simulado Vacinas,UTI/Emerg.,DIRETO,3
Simulado Vacinas,Vacinas/Epidem.,COMPLEMENTAR,2
Simulado PCR,Medicamentos,DIRETO,3
Simulado PCR,Dispositivos,DIRETO,3
Simulado PCR,Sinais Vitais,DIRETO,3
Simulado PCR,Exames Lab.,DIRETO,3
Simulado PCR,Anatomia/Fisiol.,DIRETO,3
Simulado PCR,Doencas,COMPLEMENTAR,2
Simulado PCR,Protocolos,DIRETO,3
Simulado PCR,SAE/NANDA/NIC/NOC,DIRETO,3
Simulado PCR,Seguranca Paciente,DIRETO,3
Simulado PCR,Educacao/Avaliacao,DIRETO,3
Simulado PCR,Saude Mental,DIRETO,3
Simulado PCR,Vent. Mecanica,DIRETO,3
Simulado Bloco Operat.,Medicamentos,DIRETO,3
Simulado Bloco Operat.,Dispositivos,DIRETO,3
Simulado Bloco Operat.,Seringas,DIRETO,3
Simulado Bloco Operat.,Sinais Vitais,DIRETO,3
Simulado Bloco Operat.,Anatomia/Fisiol.,DIRETO,3
Simulado Bloco Operat.,Doencas,COMPLEMENTAR,2
Simulado Bloco Operat.,Protocolos,DIRETO,3
Simulado Bloco Operat.,SAE/NANDA/NIC/NOC,DIRETO,3
Simulado Bloco Operat.,Seguranca Paciente,DIRETO,3
Simulado Bloco Operat.,Educacao/Avaliacao,DIRETO,3
Simulado Bloco Operat.,Bloco Operat.,DIRETO,3
Simulado Bloco Operat.,Vent. Mecanica,COMPLEMENTAR,2
Quiz Interativo,Medicamentos,COMPLEMENTAR,2
Quiz Interativo,Dispositivos,COMPLEMENTAR,2
Quiz Interativo,Seringas,COMPLEMENTAR,2
Quiz Interativo,Feridas,COMPLEMENTAR,2
Quiz Interativo,Curativos,COMPLEMENTAR,2
Quiz Interativo,Sinais Vitais,COMPLEMENTAR,2
Quiz Interativo,Exames Lab.,COMPLEMENTAR,2
Quiz Interativo,Anatomia/Fisiol.,COMPLEMENTAR,2
Quiz Interativo,Doencas,COMPLEMENTAR,2
Quiz Interativo,Protocolos,COMPLEMENTAR,2
Quiz Interativo,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Quiz Interativo,Seguranca Paciente,COMPLEMENTAR,2
Quiz Interativo,Legislacao/CLT,COMPLEMENTAR,2
Quiz Interativo,Educacao/Avaliacao,DIRETO,3
Quiz Interativo,Bloco Operat.,COMPLEMENTAR,2
Quiz Interativo,Geriatria,COMPLEMENTAR,2
Quiz Interativo,Pediatria/Neo.,COMPLEMENTAR,2
Quiz Interativo,Saude Mental,COMPLEMENTAR,2
Quiz Interativo,Vent. Mecanica,COMPLEMENTAR,2
Quiz Interativo,UTI/Emerg.,COMPLEMENTAR,2
Quiz Interativo,Vacinas/Epidem.,COMPLEMENTAR,2
Quiz Interativo,Nutricao,COMPLEMENTAR,2
Biblioteca de Provas,Medicamentos,COMPLEMENTAR,2
Biblioteca de Provas,Dispositivos,COMPLEMENTAR,2
Biblioteca de Provas,Seringas,COMPLEMENTAR,2
Biblioteca de Provas,Feridas,COMPLEMENTAR,2
Biblioteca de Provas,Curativos,COMPLEMENTAR,2
Biblioteca de Provas,Sinais Vitais,COMPLEMENTAR,2
Biblioteca de Provas,Exames Lab.,COMPLEMENTAR,2
Biblioteca de Provas,Anatomia/Fisiol.,COMPLEMENTAR,2
Biblioteca de Provas,Doencas,COMPLEMENTAR,2
Biblioteca de Provas,Protocolos,COMPLEMENTAR,2
Biblioteca de Provas,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Biblioteca de Provas,Seguranca Paciente,COMPLEMENTAR,2
Biblioteca de Provas,Legislacao/CLT,COMPLEMENTAR,2
Biblioteca de Provas,Educacao/Avaliacao,DIRETO,3
Biblioteca de Provas,Bloco Operat.,COMPLEMENTAR,2
Biblioteca de Provas,Geriatria,COMPLEMENTAR,2
Biblioteca de Provas,Pediatria/Neo.,COMPLEMENTAR,2
Biblioteca de Provas,Saude Mental,COMPLEMENTAR,2
Biblioteca de Provas,Vent. Mecanica,COMPLEMENTAR,2
Biblioteca de Provas,UTI/Emerg.,COMPLEMENTAR,2
Biblioteca de Provas,Vacinas/Epidem.,COMPLEMENTAR,2
Biblioteca de Provas,Nutricao,COMPLEMENTAR,2
Escala de Ballard,Sinais Vitais,DIRETO,3
Escala de Ballard,Anatomia/Fisiol.,DIRETO,3
Escala de Ballard,Doencas,COMPLEMENTAR,2
Escala de Ballard,Protocolos,COMPLEMENTAR,2
Escala de Ballard,SAE/NANDA/NIC/NOC,DIRETO,3
Escala de Ballard,Seguranca Paciente,COMPLEMENTAR,2
Escala de Ballard,Educacao/Avaliacao,COMPLEMENTAR,2
Escala de Ballard,Pediatria/Neo.,DIRETO,3
Escala de Ballard,UTI/Emerg.,COMPLEMENTAR,2
Escala de Ballard,Nutricao,COMPLEMENTAR,2
Escala de Barthel,Dispositivos,COMPLEMENTAR,2
Escala de Barthel,Sinais Vitais,COMPLEMENTAR,2
Escala de Barthel,Anatomia/Fisiol.,DIRETO,3
Escala de Barthel,Doencas,COMPLEMENTAR,2
Escala de Barthel,Protocolos,COMPLEMENTAR,2
Escala de Barthel,SAE/NANDA/NIC/NOC,DIRETO,3
Escala de Barthel,Seguranca Paciente,DIRETO,3
Escala de Barthel,Educacao/Avaliacao,COMPLEMENTAR,2
Escala de Barthel,Geriatria,DIRETO,3
Escala BPS,Medicamentos,COMPLEMENTAR,2
Escala BPS,Sinais Vitais,DIRETO,3
Escala BPS,Anatomia/Fisiol.,DIRETO,3
Escala BPS,Doencas,COMPLEMENTAR,2
Escala BPS,Protocolos,COMPLEMENTAR,2
Escala BPS,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Escala BPS,Seguranca Paciente,DIRETO,3
Escala BPS,Educacao/Avaliacao,COMPLEMENTAR,2
Escala BPS,Saude Mental,DIRETO,3
Escala BPS,Vent. Mecanica,DIRETO,3
Escala BERG (BBS),Dispositivos,COMPLEMENTAR,2
Escala BERG (BBS),Sinais Vitais,COMPLEMENTAR,2
Escala BERG (BBS),Anatomia/Fisiol.,DIRETO,3
Escala BERG (BBS),Doencas,COMPLEMENTAR,2
Escala BERG (BBS),Protocolos,COMPLEMENTAR,2
Escala BERG (BBS),SAE/NANDA/NIC/NOC,DIRETO,3
Escala BERG (BBS),Seguranca Paciente,DIRETO,3
Escala BERG (BBS),Educacao/Avaliacao,COMPLEMENTAR,2
Escala BERG (BBS),Geriatria,DIRETO,3
Indice de Bishop,Medicamentos,COMPLEMENTAR,2
Indice de Bishop,Sinais Vitais,DIRETO,3
Indice de Bishop,Anatomia/Fisiol.,DIRETO,3
Indice de Bishop,Doencas,COMPLEMENTAR,2
Indice de Bishop,Protocolos,DIRETO,3
Indice de Bishop,SAE/NANDA/NIC/NOC,DIRETO,3
Indice de Bishop,Seguranca Paciente,COMPLEMENTAR,2
Indice de Bishop,Educacao/Avaliacao,COMPLEMENTAR,2
Indice de Bishop,Pediatria/Neo.,DIRETO,3
Indice de Bishop,Vent. Mecanica,COMPLEMENTAR,2
Escala CAM-ICU,Medicamentos,COMPLEMENTAR,2
Escala CAM-ICU,Sinais Vitais,DIRETO,3
Escala CAM-ICU,Anatomia/Fisiol.,DIRETO,3
Escala CAM-ICU,Doencas,DIRETO,3
Escala CAM-ICU,Protocolos,COMPLEMENTAR,2
Escala CAM-ICU,SAE/NANDA/NIC/NOC,DIRETO,3
Escala CAM-ICU,Seguranca Paciente,DIRETO,3
Escala CAM-ICU,Educacao/Avaliacao,COMPLEMENTAR,2
Escala CAM-ICU,Pediatria/Neo.,COMPLEMENTAR,2
Escala CAM-ICU,Vent. Mecanica,DIRETO,3
Escala de Cincinnati,Sinais Vitais,DIRETO,3
Escala de Cincinnati,Exames Lab.,COMPLEMENTAR,2
Escala de Cincinnati,Anatomia/Fisiol.,DIRETO,3
Escala de Cincinnati,Doencas,DIRETO,3
Escala de Cincinnati,Protocolos,DIRETO,3
Escala de Cincinnati,SAE/NANDA/NIC/NOC,DIRETO,3
Escala de Cincinnati,Seguranca Paciente,DIRETO,3
Escala de Cincinnati,Educacao/Avaliacao,COMPLEMENTAR,2
Escala de Cincinnati,Vent. Mecanica,COMPLEMENTAR,2
COPSOQ II,Anatomia/Fisiol.,COMPLEMENTAR,2
COPSOQ II,Doencas,COMPLEMENTAR,2
COPSOQ II,Protocolos,COMPLEMENTAR,2
COPSOQ II,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
COPSOQ II,Seguranca Paciente,DIRETO,3
COPSOQ II,Legislacao/CLT,DIRETO,3
COPSOQ II,Educacao/Avaliacao,DIRETO,3
COPSOQ II,Saude Mental,DIRETO,3
COPSOQ III,Anatomia/Fisiol.,COMPLEMENTAR,2
COPSOQ III,Doencas,COMPLEMENTAR,2
COPSOQ III,Protocolos,COMPLEMENTAR,2
COPSOQ III,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
COPSOQ III,Seguranca Paciente,DIRETO,3
COPSOQ III,Legislacao/CLT,DIRETO,3
COPSOQ III,Educacao/Avaliacao,DIRETO,3
COPSOQ III,Saude Mental,DIRETO,3
Escala de Cornell,Medicamentos,COMPLEMENTAR,2
Escala de Cornell,Anatomia/Fisiol.,COMPLEMENTAR,2
Escala de Cornell,Doencas,DIRETO,3
Escala de Cornell,Protocolos,COMPLEMENTAR,2
Escala de Cornell,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Escala de Cornell,Seguranca Paciente,COMPLEMENTAR,2
Escala de Cornell,Educacao/Avaliacao,COMPLEMENTAR,2
Escala de Cornell,Geriatria,DIRETO,3
Escala de Cornell,Pediatria/Neo.,DIRETO,3
Escala de CRIES,Medicamentos,COMPLEMENTAR,2
Escala de CRIES,Sinais Vitais,DIRETO,3
Escala de CRIES,Anatomia/Fisiol.,DIRETO,3
Escala de CRIES,Doencas,COMPLEMENTAR,2
Escala de CRIES,Protocolos,COMPLEMENTAR,2
Escala de CRIES,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Escala de CRIES,Seguranca Paciente,COMPLEMENTAR,2
Escala de CRIES,Educacao/Avaliacao,COMPLEMENTAR,2
Escala de CRIES,Pediatria/Neo.,DIRETO,3
Escala de CRIES,Vent. Mecanica,COMPLEMENTAR,2
Escala CURB-65,Medicamentos,DIRETO,3
Escala CURB-65,Sinais Vitais,DIRETO,3
Escala CURB-65,Exames Lab.,DIRETO,3
Escala CURB-65,Anatomia/Fisiol.,DIRETO,3
Escala CURB-65,Doencas,DIRETO,3
Escala CURB-65,Protocolos,DIRETO,3
Escala CURB-65,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Escala CURB-65,Seguranca Paciente,DIRETO,3
Escala CURB-65,Educacao/Avaliacao,COMPLEMENTAR,2
Escala CURB-65,Vent. Mecanica,COMPLEMENTAR,2
Escala de Downton,Medicamentos,COMPLEMENTAR,2
Escala de Downton,Dispositivos,COMPLEMENTAR,2
Escala de Downton,Sinais Vitais,COMPLEMENTAR,2
Escala de Downton,Anatomia/Fisiol.,DIRETO,3
Escala de Downton,Doencas,COMPLEMENTAR,2
Escala de Downton,Protocolos,COMPLEMENTAR,2
Escala de Downton,SAE/NANDA/NIC/NOC,DIRETO,3
Escala de Downton,Seguranca Paciente,DIRETO,3
Escala de Downton,Educacao/Avaliacao,COMPLEMENTAR,2
Escala de Downton,Geriatria,DIRETO,3
Escala ELPO,Dispositivos,COMPLEMENTAR,2
Escala ELPO,Feridas,DIRETO,3
Escala ELPO,Curativos,DIRETO,3
Escala ELPO,Sinais Vitais,COMPLEMENTAR,2
Escala ELPO,Anatomia/Fisiol.,DIRETO,3
Escala ELPO,Doencas,COMPLEMENTAR,2
Escala ELPO,Protocolos,DIRETO,3
Escala ELPO,SAE/NANDA/NIC/NOC,DIRETO,3
Escala ELPO,Seguranca Paciente,DIRETO,3
Escala ELPO,Educacao/Avaliacao,COMPLEMENTAR,2
Escala ELPO,Bloco Operat.,DIRETO,3
Escala ELPO,Vent. Mecanica,COMPLEMENTAR,2
Escala FAST,Sinais Vitais,DIRETO,3
Escala FAST,Anatomia/Fisiol.,DIRETO,3
Escala FAST,Doencas,DIRETO,3
Escala FAST,Protocolos,DIRETO,3
Escala FAST,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Escala FAST,Seguranca Paciente,DIRETO,3
Escala FAST,Educacao/Avaliacao,COMPLEMENTAR,2
Escala FAST,Vent. Mecanica,COMPLEMENTAR,2
Escala FLACC,Medicamentos,COMPLEMENTAR,2
Escala FLACC,Sinais Vitais,DIRETO,3
Escala FLACC,Anatomia/Fisiol.,DIRETO,3
Escala FLACC,Doencas,COMPLEMENTAR,2
Escala FLACC,Protocolos,COMPLEMENTAR,2
Escala FLACC,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Escala FLACC,Seguranca Paciente,COMPLEMENTAR,2
Escala FLACC,Educacao/Avaliacao,COMPLEMENTAR,2
Escala FLACC,Pediatria/Neo.,DIRETO,3
Escala FLACC,Vent. Mecanica,COMPLEMENTAR,2
Escala FOUR,Sinais Vitais,DIRETO,3
Escala FOUR,Exames Lab.,COMPLEMENTAR,2
Escala FOUR,Anatomia/Fisiol.,DIRETO,3
Escala FOUR,Doencas,DIRETO,3
